build,repeat,client,mode,size,concurrency,rounds,seconds,client_cpu_seconds,mib_per_second,first_item_seconds,rss_before_kib,rss_after_close_kib,rss_peak,failed_requests,open_failed,active_requests
baseline,2,async,bytes,262144,10,32,0.09844204201363027,0.212245,3250.643662549105,0.0009543334599584341,39728,57904,59506688,0,0,0
candidate,2,async,bytes,262144,10,32,0.09613687498494983,0.19851900000000003,3328.5874962140783,0.0009527084766887128,39904,57776,59408384,0,0,0
baseline,2,async,drip,65536,1,16,0.3962497500469908,0.04393999999999999,40.378574366551845,0.0006950210081413388,39632,42704,44023808,0,0,0
candidate,2,async,drip,65536,1,16,0.4034857499646023,0.04397000000000001,39.65443637452791,0.0005991875077597797,39776,42752,44105728,0,0,0
baseline,2,async,drip,65536,10,16,0.4087465830380097,0.241899,391.4405811317118,0.0008607085328549147,39808,50304,51740672,0,0,0
candidate,2,async,drip,65536,10,16,0.4016227920074016,0.215539,398.3837650255948,0.0007812919793650508,39664,49040,50462720,0,0,0
baseline,2,async,close,65536,1,16,0.007283959072083235,0.005573999999999996,17.01985662742854,0.00035783351631835103,39904,42528,43859968,18,0,0
candidate,2,async,close,65536,1,16,0.007510541006922722,0.005319999999999991,16.404175298243562,0.0003858329728245735,39696,42336,43679744,18,0,0
baseline,2,async,close,65536,10,16,0.5489525420125574,0.08916199999999999,2.2658880648631827,0.002677791053429246,39680,43248,44564480,180,0,0
candidate,2,async,close,65536,10,16,0.5439765410264954,0.09518299999999999,2.287744204987159,0.003007417020853609,39664,43440,44761088,180,0,0
baseline,2,async,lines,65536,1,8,0.20302004204131663,0.200922,37.21634566976568,0.0005689370445907116,39392,42880,44187648,0,0,0
candidate,2,async,lines,65536,1,8,0.19693254097364843,0.195528,38.36676267489498,0.00060299999313429,39728,43184,44466176,0,0,0
baseline,2,async,lines,65536,10,8,1.9367563750129193,1.9851139999999998,39.01194884384774,0.00803512497805059,39904,56656,58179584,0,0,0
candidate,2,async,lines,65536,10,8,1.9839182499563321,2.0272189999999997,38.08455344702992,0.008614666992798448,39696,54576,56049664,0,0,0
baseline,2,async,buffered,65536,1,128,0.06329449999611825,0.056179999999999994,2022.2926163861005,0.0004170829779468477,39824,47872,49364992,0,0,0
candidate,2,async,buffered,65536,1,128,0.06010195892304182,0.051942,2129.7142770986707,0.00041118753142654896,39808,48768,50298880,0,0,0
baseline,2,async,buffered,65536,10,32,0.10230112494900823,0.150739,3128.020343466441,0.002807187964208424,39856,77856,79986688,0,0,0
candidate,2,async,buffered,65536,10,32,0.10376683296635747,0.15286799999999998,3083.837010846694,0.002835833001881838,39920,80400,82558976,0,0,0
